LATIN,COMMON,SUN,SOIL,HABITAT,SPEC SIZES,CATEGORY
Alisma plantago-aquatica,Water Plantain,Sun/Partial Shade,Wet,Wetland,"Plug, Container",Miscellaneous Plants
Cornus nuttallii 'Eddie's White Wonder',Eddie's White Wonder Dogwood,Sun/Partial Shade,Well Drained,Open Forest,Container,Miscellaneous Plants
Metasequoia glyptostroboides,Dawn Redwood,Sun,Humus/Moist/Well Drained,"Shade Forest, Open Forest",Inquire,Miscellaneous Plants
Rosa rugosa,Saltspray Rose,Sun,Well Drained,Shoreline,Inquire,Miscellaneous Plants
Sequoiadendron giganteum,Giant Sequoia,Sun,Moist/Well Drained,"Shade Forest, Open Forest","Container, B&B",Miscellaneous Plants
Sequoiadendron giganteum 'Pendula',Weeping Giant Sequoia,Sun,Moist/Well Drained,Open Forest,"Container, B&B",Miscellaneous Plants
