OLD,NEW
Aruncus sylvester,Aruncus sylvestris (dioicus)
Cornus sericea,Cornus sericea (stolonifera)
Pseudotsuga menziesii,Pseudotsuga menziesii var. menziesii
Salix lasiandra,Salix lucida ssp. lasiandra
Spirea douglasii,Spiraea douglasii
Symphoricarpus albus,Symphoricarpos albus
Symplocarpus foetidus,Lysichiton americanus
Tsuga Hetrophylla,Tsuga heterophylla
Vaccininium ovatum,Vaccinium ovatum
Vaccinium parviflorum,Vaccinium parvifolium
